Location,Area (sqm),Property Type,Bedrooms,Bathrooms,Building Age (years),Furnishing Status,Floor Level,Amenities,Nearby Facility,Price 2023 (EGP),Price 2024 (EGP),Price 2025 (EGP)
6th of October,226,Villa,1,3,25,Furnished,16,None,Mall,"1,915,052","2,457,141","3,042,180"
New Cairo,261,Villa,5,3,16,Semi-Furnished,6,Gym,Hospital,"3,028,804","3,454,673","4,277,892"
Sheikh Zayed,205,Villa,3,3,5,Furnished,6,None,Mall,"1,843,680","2,443,636","2,971,229"
New Cairo,223,Apartment,4,2,13,Semi-Furnished,19,Gym,Mall,"3,104,355","4,026,617","4,715,665"
Nasr City,301,Apartment,3,1,22,Semi-Furnished,8,None,Mall,"3,254,576","4,514,046","5,580,714"
New Cairo,128,Villa,5,1,24,Furnished,1,Gym,School,"1,337,226","1,498,612","1,856,195"
New Cairo,234,Villa,1,1,14,Furnished,13,Garden,Hospital,"4,928,632","5,505,855","6,440,008"
New Cairo,108,Villa,5,3,13,Unfurnished,16,None,School,"2,306,917","2,732,904","3,344,371"
6th of October,167,Apartment,2,3,23,Semi-Furnished,0,Swimming Pool,School,"1,651,629","1,946,464","2,294,204"
New Cairo,285,Apartment,2,2,21,Unfurnished,8,Gym,Metro Station,"5,117,455","6,008,371","7,391,883"
Sheikh Zayed,220,Apartment,4,1,2,Furnished,19,Swimming Pool,Mall,"1,948,966","2,673,741","3,341,438"
Nasr City,178,Apartment,5,3,23,Semi-Furnished,18,Gym,Mall,"1,623,108","1,906,932","2,198,697"
Nasr City,208,Apartment,4,1,22,Unfurnished,3,Swimming Pool,School,"1,822,168","2,153,046","2,669,211"
New Cairo,209,Apartment,4,2,18,Unfurnished,7,Swimming Pool,Metro Station,"2,806,852","3,726,993","4,518,096"
6th of October,352,Villa,2,2,24,Unfurnished,12,Gym,Metro Station,"3,041,933","3,756,550","4,685,689"
6th of October,202,Apartment,4,2,11,Furnished,3,Gym,Metro Station,"2,429,024","3,237,921","3,874,175"
Sheikh Zayed,219,Apartment,2,1,1,Furnished,8,Swimming Pool,Hospital,"2,435,315","2,726,603","3,366,643"
New Cairo,70,Villa,1,3,2,Furnished,8,Swimming Pool,School,"1,055,380","1,315,290","1,520,790"
Nasr City,197,Apartment,5,3,17,Semi-Furnished,17,Swimming Pool,Hospital,"2,325,044","2,580,995","3,054,679"
6th of October,137,Villa,4,2,28,Furnished,11,None,Metro Station,"1,058,496","1,184,241","1,369,814"
New Cairo,136,Apartment,2,3,0,Semi-Furnished,9,None,Metro Station,"2,147,064","2,945,625","3,674,768"
6th of October,313,Villa,3,2,19,Unfurnished,10,Garden,Metro Station,"3,413,314","3,897,232","4,800,210"
6th of October,317,Villa,4,1,20,Unfurnished,6,None,Mall,"2,124,957","2,676,864","3,306,609"
Nasr City,379,Villa,1,2,28,Furnished,8,None,School,"2,724,775","3,333,295","4,145,941"
Maadi,350,Villa,1,1,5,Unfurnished,5,Gym,Mall,"3,599,884","4,334,991","5,022,132"
Sheikh Zayed,322,Villa,3,2,4,Furnished,18,Garden,Hospital,"3,967,095","5,434,722","6,459,492"
Sheikh Zayed,144,Apartment,2,3,0,Semi-Furnished,15,Garden,Mall,"2,245,620","2,484,884","2,875,268"
Nasr City,205,Apartment,4,3,18,Unfurnished,14,None,School,"1,997,681","2,595,261","3,039,257"
6th of October,382,Villa,2,2,0,Furnished,6,Gym,Mall,"3,260,091","4,528,327","5,311,440"
New Cairo,101,Villa,1,3,26,Unfurnished,15,Gym,Metro Station,"1,363,968","1,729,581","2,070,154"
6th of October,184,Villa,2,3,20,Unfurnished,4,Garden,Hospital,"1,939,345","2,678,327","3,152,005"
Nasr City,226,Apartment,1,3,20,Furnished,15,Gym,Hospital,"3,061,476","3,415,619","3,962,453"
Sheikh Zayed,300,Villa,2,1,15,Unfurnished,0,Swimming Pool,Metro Station,"3,255,625","3,990,218","4,655,584"
6th of October,339,Villa,3,3,11,Unfurnished,18,None,Metro Station,"2,841,043","3,346,883","3,898,207"
Sheikh Zayed,247,Villa,5,1,26,Unfurnished,4,Swimming Pool,Metro Station,"2,865,270","3,779,997","4,714,819"
New Cairo,361,Villa,3,2,28,Unfurnished,6,Garden,School,"5,838,020","8,140,472","9,979,642"
Sheikh Zayed,78,Apartment,3,3,21,Semi-Furnished,18,Garden,Mall,"608,545","716,233","892,982"
Sheikh Zayed,127,Villa,5,3,7,Unfurnished,4,Gym,Hospital,"1,426,242","1,848,769","2,207,382"
Maadi,277,Villa,5,3,25,Unfurnished,16,Gym,Mall,"3,329,668","3,860,515","4,547,057"
Maadi,161,Apartment,4,2,15,Furnished,7,Garden,Metro Station,"1,873,955","2,379,171","2,925,975"
Maadi,101,Villa,4,1,27,Semi-Furnished,0,Garden,Metro Station,"1,513,271","1,875,215","2,217,677"
Sheikh Zayed,347,Villa,3,1,0,Furnished,1,Swimming Pool,Mall,"4,168,041","5,800,253","6,843,941"
Nasr City,226,Apartment,3,3,3,Furnished,14,Swimming Pool,Hospital,"2,605,820","3,342,116","3,921,139"
Sheikh Zayed,168,Apartment,1,2,9,Furnished,19,Gym,School,"1,803,518","2,172,972","2,527,097"
Nasr City,95,Apartment,1,2,10,Semi-Furnished,17,Swimming Pool,Mall,"896,279","1,016,586","1,195,145"
Nasr City,291,Villa,4,2,16,Furnished,10,Gym,Metro Station,"2,312,871","2,649,103","3,140,596"
Maadi,288,Villa,4,2,24,Furnished,9,Gym,Metro Station,"3,103,470","3,623,596","4,411,364"
6th of October,223,Apartment,1,2,26,Furnished,3,None,School,"1,905,203","2,239,166","2,589,051"
New Cairo,132,Apartment,1,1,22,Unfurnished,4,Gym,Mall,"2,020,851","2,738,626","3,207,070"
Maadi,195,Apartment,2,1,6,Furnished,3,Swimming Pool,School,"1,994,526","2,529,791","3,113,926"
Maadi,129,Villa,2,1,11,Semi-Furnished,12,Garden,School,"1,321,457","1,661,095","1,934,664"
6th of October,255,Villa,1,3,20,Semi-Furnished,12,Garden,Hospital,"2,370,597","2,689,278","3,184,817"
New Cairo,328,Apartment,2,2,6,Unfurnished,17,Swimming Pool,Hospital,"5,051,296","6,859,872","8,481,998"
Sheikh Zayed,108,Villa,5,3,11,Semi-Furnished,1,Garden,Metro Station,"1,267,130","1,668,612","1,944,755"
Sheikh Zayed,375,Apartment,4,2,14,Semi-Furnished,15,Gym,Mall,"2,926,608","3,278,680","3,797,609"
Maadi,189,Villa,4,1,1,Unfurnished,0,Garden,Hospital,"2,621,364","3,440,149","4,122,860"
New Cairo,64,Villa,1,3,13,Furnished,18,Swimming Pool,Metro Station,"905,063","1,143,151","1,349,194"
Maadi,86,Villa,3,1,12,Unfurnished,8,Garden,Mall,"1,057,428","1,189,097","1,434,456"
Nasr City,219,Villa,1,2,3,Furnished,2,Gym,Metro Station,"2,589,627","3,204,638","3,942,924"
Maadi,208,Apartment,2,2,13,Furnished,6,Gym,Hospital,"2,561,111","3,189,631","3,711,821"
Maadi,323,Villa,3,2,13,Semi-Furnished,9,Swimming Pool,Metro Station,"4,182,045","4,808,233","5,808,682"
Sheikh Zayed,289,Villa,2,1,15,Unfurnished,0,Swimming Pool,Mall,"2,963,571","4,100,721","4,923,124"
Sheikh Zayed,259,Apartment,5,2,6,Semi-Furnished,9,Swimming Pool,Mall,"3,287,602","4,454,676","5,187,060"
Sheikh Zayed,109,Villa,2,1,18,Semi-Furnished,8,None,Metro Station,"1,284,715","1,671,038","2,025,966"
Nasr City,126,Apartment,5,3,1,Furnished,14,None,Mall,"1,239,767","1,535,685","1,808,061"
Sheikh Zayed,359,Apartment,5,2,9,Semi-Furnished,14,Gym,Metro Station,"3,638,829","4,452,215","5,337,242"
New Cairo,117,Villa,2,2,17,Unfurnished,2,None,Mall,"1,997,684","2,587,585","2,997,011"
6th of October,318,Villa,2,2,28,Semi-Furnished,4,None,Metro Station,"2,698,337","3,409,698","4,077,857"
New Cairo,385,Apartment,5,3,16,Semi-Furnished,8,Garden,Metro Station,"6,649,277","7,438,426","8,782,150"
New Cairo,189,Apartment,3,2,4,Furnished,8,None,Metro Station,"2,720,204","3,410,458","4,202,496"
Sheikh Zayed,274,Apartment,5,1,11,Unfurnished,6,Garden,School,"2,071,502","2,779,793","3,212,601"
6th of October,231,Villa,4,1,5,Semi-Furnished,11,Swimming Pool,Mall,"1,634,559","2,023,211","2,411,386"
6th of October,317,Apartment,5,2,21,Furnished,8,Garden,Hospital,"3,050,809","3,403,443","4,069,984"
6th of October,161,Apartment,3,2,8,Semi-Furnished,5,Garden,Metro Station,"1,494,864","1,996,964","2,441,290"
Nasr City,268,Apartment,4,3,19,Unfurnished,1,Swimming Pool,School,"2,370,995","2,751,324","3,322,028"
Sheikh Zayed,350,Villa,1,3,0,Semi-Furnished,8,Swimming Pool,Hospital,"4,311,959","5,077,704","6,178,151"
6th of October,345,Apartment,1,3,21,Semi-Furnished,16,Gym,Metro Station,"3,110,474","3,575,216","4,389,310"
Nasr City,175,Villa,3,2,14,Furnished,0,Gym,Hospital,"1,450,763","1,739,558","2,150,477"
Maadi,323,Villa,5,3,20,Semi-Furnished,18,Gym,School,"4,189,817","5,559,993","6,568,507"
Maadi,209,Apartment,2,3,25,Furnished,5,Gym,Hospital,"2,627,728","3,299,942","3,972,478"
Nasr City,359,Villa,3,1,5,Unfurnished,4,Garden,Metro Station,"3,734,668","4,337,684","5,352,750"
Nasr City,95,Apartment,4,3,18,Semi-Furnished,1,Garden,Hospital,"859,968","1,172,436","1,464,309"
Sheikh Zayed,392,Villa,4,1,17,Unfurnished,8,Gym,Hospital,"4,447,785","6,066,221","7,515,756"
Sheikh Zayed,346,Villa,1,1,5,Unfurnished,13,None,Metro Station,"3,873,640","5,272,697","6,259,465"
Maadi,362,Apartment,4,3,12,Semi-Furnished,3,Gym,School,"4,406,633","5,162,983","6,038,195"
6th of October,370,Apartment,3,1,0,Furnished,3,None,School,"3,750,712","4,633,524","5,555,314"
Maadi,267,Apartment,4,2,22,Unfurnished,14,Swimming Pool,Hospital,"2,985,935","4,166,863","5,100,924"
6th of October,165,Villa,3,2,22,Unfurnished,7,Garden,Mall,"1,080,738","1,439,114","1,725,868"
6th of October,217,Villa,2,3,25,Semi-Furnished,3,Garden,Hospital,"1,654,752","1,833,714","2,197,372"
Sheikh Zayed,180,Apartment,1,2,12,Semi-Furnished,15,None,Mall,"2,285,732","2,559,017","3,157,374"
New Cairo,114,Apartment,4,1,6,Semi-Furnished,3,Gym,Hospital,"1,410,678","1,748,083","2,073,472"
New Cairo,71,Villa,3,2,14,Semi-Furnished,15,Garden,School,"996,309","1,367,700","1,690,449"
Nasr City,204,Villa,5,3,11,Semi-Furnished,11,None,Hospital,"2,110,188","2,662,236","3,169,873"
Sheikh Zayed,195,Villa,1,3,26,Semi-Furnished,15,Swimming Pool,Hospital,"2,127,448","2,657,914","3,143,843"
6th of October,62,Apartment,2,1,25,Furnished,18,Swimming Pool,Mall,"492,949","557,842","666,844"
New Cairo,203,Villa,3,3,0,Unfurnished,7,Garden,School,"2,536,912","3,290,461","4,034,911"
6th of October,89,Apartment,2,2,14,Furnished,5,Gym,Mall,"606,732","817,044","949,896"
New Cairo,296,Villa,2,3,3,Furnished,9,None,Hospital,"4,168,588","5,061,191","5,919,781"
New Cairo,338,Villa,4,1,12,Semi-Furnished,4,Garden,Metro Station,"4,698,185","6,261,194","7,796,092"
New Cairo,174,Apartment,4,3,22,Unfurnished,17,Swimming Pool,Hospital,"2,374,718","3,299,297","3,852,092"
Sheikh Zayed,163,Apartment,3,2,26,Furnished,9,Gym,Hospital,"1,824,453","2,118,427","2,556,460"
Maadi,177,Apartment,5,1,24,Semi-Furnished,9,None,Mall,"1,645,643","2,068,572","2,498,693"
6th of October,64,Villa,3,2,4,Semi-Furnished,6,Garden,Metro Station,"548,629","650,751","780,227"
Sheikh Zayed,307,Villa,5,1,28,Unfurnished,17,None,Metro Station,"2,923,899","3,911,756","4,750,728"
Sheikh Zayed,380,Villa,2,3,1,Furnished,0,Gym,Mall,"5,190,660","6,609,153","7,752,422"
Sheikh Zayed,180,Apartment,1,1,22,Furnished,6,Gym,School,"1,734,239","2,237,819","2,697,168"
Sheikh Zayed,345,Villa,3,1,25,Furnished,0,Swimming Pool,Metro Station,"3,711,189","4,970,671","5,901,267"
Sheikh Zayed,208,Apartment,3,3,0,Semi-Furnished,14,Gym,Metro Station,"1,664,468","2,028,639","2,467,164"
Nasr City,143,Apartment,5,2,15,Unfurnished,3,Garden,Mall,"1,235,778","1,698,610","1,977,390"
6th of October,290,Apartment,2,3,22,Unfurnished,19,None,School,"2,244,005","2,827,241","3,412,728"
Sheikh Zayed,347,Villa,2,1,5,Furnished,9,Gym,School,"3,759,722","4,313,854","5,040,855"
6th of October,220,Villa,5,3,22,Semi-Furnished,8,Gym,Hospital,"1,338,359","1,751,604","2,063,152"
Nasr City,331,Apartment,2,1,15,Furnished,1,Garden,Hospital,"2,520,034","3,371,751","3,951,258"
Nasr City,97,Villa,4,3,13,Unfurnished,13,None,Mall,"822,095","982,427","1,147,754"
6th of October,285,Apartment,1,3,28,Semi-Furnished,15,None,School,"2,588,936","3,513,585","4,330,743"
New Cairo,201,Apartment,3,2,25,Furnished,0,Swimming Pool,Mall,"2,814,292","3,860,767","4,550,187"
Maadi,351,Villa,1,1,2,Furnished,1,Swimming Pool,Hospital,"4,056,166","4,798,734","5,963,446"
New Cairo,210,Apartment,3,2,14,Semi-Furnished,6,None,Mall,"3,321,398","4,633,537","5,777,987"
New Cairo,173,Apartment,4,1,2,Unfurnished,9,Garden,Mall,"2,516,395","2,874,260","3,469,594"
New Cairo,296,Villa,2,3,22,Semi-Furnished,19,Garden,Metro Station,"5,668,330","6,578,690","7,659,570"
Sheikh Zayed,125,Apartment,5,1,28,Furnished,0,Swimming Pool,Metro Station,"1,564,654","1,807,594","2,146,437"
Nasr City,317,Apartment,4,2,1,Furnished,12,Gym,Metro Station,"2,418,443","3,308,907","4,069,205"
New Cairo,308,Apartment,1,2,0,Furnished,0,Garden,Hospital,"4,599,150","5,961,822","7,075,128"
Nasr City,390,Apartment,5,2,8,Furnished,4,Gym,Mall,"5,324,676","6,100,115","7,068,214"
6th of October,382,Apartment,2,1,8,Unfurnished,15,Garden,Metro Station,"2,747,180","3,384,793","4,080,972"
Maadi,239,Apartment,4,2,22,Unfurnished,14,None,Metro Station,"2,380,875","3,058,446","3,775,689"
6th of October,249,Apartment,5,2,6,Furnished,16,Swimming Pool,Metro Station,"2,486,219","2,797,094","3,439,286"
6th of October,213,Villa,4,2,2,Unfurnished,15,Gym,Hospital,"2,459,588","3,356,661","3,918,943"
Sheikh Zayed,255,Villa,4,3,25,Unfurnished,12,Gym,Hospital,"2,340,311","3,138,547","3,820,480"
Maadi,370,Apartment,2,3,17,Unfurnished,10,None,Mall,"4,022,120","5,033,933","5,900,024"
6th of October,321,Apartment,3,1,10,Furnished,16,Garden,Mall,"3,071,285","4,269,511","5,003,101"
6th of October,202,Villa,5,1,6,Semi-Furnished,16,Gym,Mall,"1,754,083","2,149,328","2,659,594"
Maadi,375,Villa,2,2,8,Semi-Furnished,1,Garden,Metro Station,"4,210,546","5,874,694","6,902,571"
Maadi,160,Villa,4,3,0,Semi-Furnished,12,None,School,"2,179,207","2,833,788","3,333,455"
6th of October,303,Villa,2,2,28,Furnished,13,Swimming Pool,Hospital,"3,176,696","4,099,214","4,714,363"
Maadi,71,Villa,3,2,13,Unfurnished,10,Gym,Metro Station,"1,064,983","1,224,503","1,514,792"
6th of October,298,Apartment,5,3,19,Unfurnished,9,Garden,Metro Station,"2,349,589","3,206,198","3,941,249"
6th of October,108,Villa,3,3,5,Furnished,2,Gym,Mall,"803,889","987,374","1,197,421"
Sheikh Zayed,101,Villa,1,3,6,Furnished,16,Garden,Mall,"1,405,211","1,614,124","1,977,345"
New Cairo,225,Villa,5,1,9,Semi-Furnished,14,Garden,Metro Station,"3,557,631","3,926,850","4,575,585"
6th of October,141,Apartment,3,1,6,Semi-Furnished,8,Garden,Hospital,"1,428,331","1,811,019","2,165,676"
Nasr City,350,Apartment,4,2,25,Furnished,9,None,Hospital,"4,138,042","5,206,566","6,170,416"
New Cairo,217,Apartment,5,1,1,Semi-Furnished,7,Swimming Pool,Metro Station,"2,856,575","3,758,700","4,357,752"
New Cairo,275,Apartment,5,3,29,Unfurnished,12,Gym,School,"4,527,754","6,189,791","7,419,164"
New Cairo,217,Apartment,2,3,3,Furnished,17,Swimming Pool,School,"3,682,209","4,138,148","5,139,886"
Sheikh Zayed,193,Apartment,4,1,20,Furnished,4,Garden,Hospital,"1,670,577","2,204,241","2,543,707"
6th of October,126,Villa,1,2,29,Unfurnished,5,Garden,Mall,"1,098,468","1,270,075","1,497,604"
Sheikh Zayed,395,Apartment,3,2,27,Unfurnished,16,Swimming Pool,School,"3,459,849","4,696,583","5,498,543"
6th of October,66,Apartment,2,1,16,Unfurnished,10,Swimming Pool,School,"481,476","647,931","760,551"
Sheikh Zayed,73,Villa,3,2,0,Semi-Furnished,19,Gym,Mall,"645,082","814,248","1,010,354"
Sheikh Zayed,132,Apartment,1,2,9,Furnished,15,Garden,School,"1,241,432","1,630,091","1,950,904"
Nasr City,222,Villa,1,2,18,Semi-Furnished,8,Swimming Pool,Metro Station,"2,342,102","2,797,185","3,347,195"
Sheikh Zayed,125,Villa,5,3,14,Unfurnished,1,None,School,"1,393,058","1,729,274","2,120,189"
Maadi,189,Apartment,1,3,9,Semi-Furnished,4,Garden,Mall,"2,431,341","3,273,779","3,815,424"
Nasr City,265,Villa,3,1,18,Unfurnished,0,Garden,Metro Station,"2,784,349","3,446,410","4,131,303"
Sheikh Zayed,335,Villa,4,3,11,Semi-Furnished,3,Gym,School,"3,966,843","4,789,326","5,713,659"
New Cairo,315,Villa,4,2,23,Semi-Furnished,3,None,Hospital,"6,229,690","7,776,297","9,406,917"
Maadi,325,Villa,5,3,15,Unfurnished,2,Gym,Metro Station,"3,864,181","5,210,750","6,513,208"
Maadi,84,Apartment,3,1,8,Semi-Furnished,8,None,Metro Station,"908,461","1,090,664","1,338,184"
Maadi,340,Villa,3,3,14,Furnished,11,Gym,Hospital,"4,839,134","5,575,305","6,633,423"
Nasr City,312,Apartment,1,2,29,Semi-Furnished,9,None,Hospital,"3,064,864","4,026,019","4,963,096"
Sheikh Zayed,369,Villa,3,2,26,Semi-Furnished,1,None,School,"5,174,478","6,974,128","8,139,302"
Sheikh Zayed,348,Villa,2,1,27,Furnished,10,None,School,"4,345,092","4,910,785","5,662,363"
New Cairo,223,Villa,1,3,16,Unfurnished,9,Swimming Pool,Mall,"3,337,089","3,910,943","4,577,543"
New Cairo,154,Apartment,2,3,13,Furnished,5,Garden,Mall,"1,916,446","2,189,715","2,592,713"
Maadi,329,Apartment,5,3,26,Semi-Furnished,17,None,Metro Station,"3,583,039","4,315,349","5,182,985"
New Cairo,380,Apartment,4,2,17,Unfurnished,1,Swimming Pool,Hospital,"6,926,484","8,554,938","10,364,418"
Nasr City,169,Villa,5,1,25,Semi-Furnished,1,Swimming Pool,Hospital,"1,639,944","2,172,348","2,696,016"
Sheikh Zayed,395,Villa,4,3,1,Semi-Furnished,9,Gym,Mall,"4,259,106","5,517,009","6,625,847"
Maadi,369,Villa,5,2,3,Furnished,15,Garden,Metro Station,"4,481,562","5,764,537","6,918,180"
New Cairo,297,Villa,3,2,17,Furnished,11,Garden,Metro Station,"3,819,317","4,604,998","5,318,885"
Nasr City,84,Apartment,2,2,6,Unfurnished,0,Gym,Mall,"725,246","980,847","1,131,399"
Nasr City,200,Villa,4,3,12,Unfurnished,7,Garden,Mall,"1,734,502","2,153,187","2,594,841"
New Cairo,176,Apartment,1,3,14,Unfurnished,15,Gym,Mall,"2,175,843","3,032,541","3,620,301"
Sheikh Zayed,84,Villa,2,3,24,Semi-Furnished,17,Swimming Pool,School,"855,917","1,104,341","1,362,666"
New Cairo,138,Apartment,1,3,22,Furnished,12,Swimming Pool,Metro Station,"1,799,838","2,047,999","2,388,106"
Maadi,127,Apartment,2,3,27,Furnished,14,None,Metro Station,"1,431,945","1,865,614","2,150,115"
New Cairo,232,Villa,2,3,21,Furnished,11,Gym,Metro Station,"3,371,108","4,037,007","4,823,836"
Nasr City,71,Villa,5,3,25,Unfurnished,7,Swimming Pool,Mall,"598,534","781,625","917,431"
New Cairo,347,Apartment,4,3,0,Furnished,9,Swimming Pool,Mall,"5,850,122","6,557,357","7,573,494"
Sheikh Zayed,187,Villa,4,3,10,Furnished,13,Gym,Mall,"1,465,676","1,689,139","2,064,905"
6th of October,155,Villa,2,2,9,Furnished,4,Swimming Pool,Mall,"1,416,136","1,921,302","2,230,938"
New Cairo,151,Apartment,3,3,24,Unfurnished,17,Garden,Hospital,"2,259,972","2,639,996","3,196,591"
Sheikh Zayed,200,Apartment,3,1,4,Furnished,18,Swimming Pool,Mall,"2,599,811","3,512,637","4,138,256"
Sheikh Zayed,90,Apartment,1,2,15,Unfurnished,14,Gym,School,"778,058","921,052","1,075,189"
Nasr City,393,Apartment,1,3,10,Furnished,5,Garden,Hospital,"4,103,624","5,305,430","6,302,719"
Sheikh Zayed,79,Villa,5,1,20,Furnished,10,Garden,Hospital,"856,576","1,120,611","1,378,514"
Sheikh Zayed,205,Apartment,2,3,5,Furnished,10,Swimming Pool,Mall,"3,013,166","3,777,897","4,492,711"
Sheikh Zayed,375,Apartment,1,1,8,Unfurnished,19,None,Metro Station,"3,756,916","4,476,716","5,484,322"
Sheikh Zayed,219,Apartment,1,1,12,Unfurnished,19,Garden,Mall,"2,578,092","3,000,366","3,488,071"
Maadi,102,Villa,2,1,23,Furnished,17,Gym,Metro Station,"1,046,862","1,161,971","1,426,061"
Maadi,313,Apartment,5,1,7,Semi-Furnished,17,None,Mall,"3,869,314","4,609,064","5,409,628"
Nasr City,189,Villa,1,2,13,Unfurnished,9,None,Mall,"1,998,855","2,590,414","3,154,450"
New Cairo,119,Apartment,5,2,23,Unfurnished,1,Garden,Metro Station,"1,467,777","2,027,721","2,446,604"
Sheikh Zayed,210,Apartment,4,1,0,Furnished,8,Swimming Pool,Metro Station,"2,162,115","2,943,420","3,658,419"
New Cairo,346,Villa,5,3,16,Semi-Furnished,13,None,Metro Station,"3,993,715","5,310,920","6,313,262"
New Cairo,64,Apartment,3,1,23,Furnished,18,Swimming Pool,Metro Station,"1,131,472","1,512,251","1,749,094"
Nasr City,325,Apartment,3,2,4,Unfurnished,9,Garden,School,"2,637,397","3,427,286","3,947,944"
Sheikh Zayed,189,Villa,5,3,24,Unfurnished,3,Gym,Metro Station,"2,138,887","2,519,793","3,106,113"
Sheikh Zayed,326,Apartment,3,2,1,Furnished,5,None,Mall,"3,071,185","4,214,152","5,067,407"
6th of October,237,Apartment,4,2,24,Furnished,13,Gym,Mall,"2,482,013","3,229,644","3,964,467"
New Cairo,312,Apartment,2,3,27,Semi-Furnished,3,Swimming Pool,School,"4,236,379","5,372,289","6,304,073"
New Cairo,115,Apartment,3,1,29,Semi-Furnished,14,Swimming Pool,Metro Station,"1,234,226","1,398,745","1,656,825"
Maadi,142,Villa,3,1,23,Unfurnished,15,Gym,Mall,"1,708,824","2,108,888","2,431,570"
6th of October,158,Apartment,5,1,8,Semi-Furnished,6,Garden,School,"1,149,080","1,422,685","1,772,878"
Maadi,208,Villa,4,1,3,Semi-Furnished,16,Garden,Mall,"2,267,530","3,082,411","3,750,637"
Maadi,388,Apartment,2,3,16,Unfurnished,18,None,School,"4,022,508","5,084,427","6,321,573"
Maadi,215,Villa,5,3,16,Unfurnished,18,None,School,"2,736,590","3,322,550","3,909,145"
Nasr City,249,Apartment,5,3,20,Unfurnished,16,Garden,Hospital,"2,937,775","4,092,438","4,956,542"
Nasr City,322,Villa,4,2,17,Unfurnished,5,Garden,Hospital,"2,645,034","2,997,395","3,650,378"
Maadi,139,Apartment,2,3,15,Furnished,10,Gym,Metro Station,"1,849,476","2,268,871","2,681,250"
6th of October,311,Villa,4,1,29,Unfurnished,15,Swimming Pool,Hospital,"2,811,838","3,128,472","3,863,072"
New Cairo,156,Villa,2,2,7,Unfurnished,7,Swimming Pool,School,"2,213,339","2,925,971","3,642,004"
6th of October,319,Apartment,4,1,25,Unfurnished,10,None,Mall,"3,433,639","4,722,706","5,849,003"
Sheikh Zayed,319,Villa,5,1,10,Semi-Furnished,6,Garden,Mall,"2,791,444","3,305,100","4,045,135"
Nasr City,162,Apartment,5,3,20,Unfurnished,18,Gym,Metro Station,"1,615,342","2,192,832","2,582,600"
New Cairo,99,Apartment,1,3,20,Furnished,9,None,Hospital,"1,418,363","1,684,541","1,984,662"
New Cairo,332,Apartment,3,1,17,Furnished,8,Gym,Metro Station,"5,174,373","7,105,610","8,855,978"
Sheikh Zayed,160,Apartment,4,1,22,Unfurnished,3,Garden,School,"1,668,666","2,212,966","2,547,187"
Sheikh Zayed,367,Apartment,1,2,28,Furnished,14,Garden,Hospital,"4,156,219","5,575,451","6,810,999"
Maadi,280,Villa,3,3,23,Semi-Furnished,12,Garden,Metro Station,"2,680,599","2,963,139","3,616,880"
Nasr City,367,Apartment,4,2,9,Unfurnished,1,Swimming Pool,Mall,"3,871,832","5,377,368","6,518,816"
Nasr City,183,Apartment,2,2,12,Furnished,1,Garden,Mall,"1,426,102","1,879,605","2,347,647"
6th of October,290,Apartment,3,2,16,Furnished,15,None,Metro Station,"3,216,382","3,832,079","4,526,405"
Maadi,237,Apartment,5,1,17,Unfurnished,8,Swimming Pool,Metro Station,"3,597,523","4,852,405","5,745,234"
Maadi,122,Apartment,1,2,9,Furnished,12,Gym,Metro Station,"1,481,180","1,754,393","2,031,402"
Maadi,175,Apartment,3,2,15,Unfurnished,2,None,School,"1,797,713","2,448,172","2,923,803"
Maadi,250,Villa,3,1,19,Furnished,8,None,School,"3,642,847","4,130,165","4,857,508"
Nasr City,121,Villa,5,3,4,Semi-Furnished,12,Gym,Mall,"1,285,990","1,686,069","1,996,876"
Nasr City,315,Apartment,4,3,12,Furnished,1,Swimming Pool,School,"2,377,783","3,001,261","3,701,927"
Maadi,66,Villa,2,2,17,Furnished,7,None,School,"611,934","690,849","859,105"
6th of October,214,Apartment,5,1,16,Unfurnished,8,None,Hospital,"2,157,963","2,530,359","2,956,910"
New Cairo,151,Apartment,2,3,8,Furnished,15,None,School,"2,402,707","2,651,919","3,148,493"
New Cairo,73,Apartment,4,2,13,Unfurnished,1,Swimming Pool,Hospital,"1,060,938","1,316,232","1,635,896"
6th of October,288,Apartment,3,2,16,Semi-Furnished,5,Swimming Pool,School,"2,180,862","2,596,053","3,001,507"
Maadi,145,Apartment,2,1,28,Unfurnished,7,Swimming Pool,Mall,"1,765,182","2,258,564","2,618,208"
Nasr City,192,Villa,1,2,3,Unfurnished,4,None,Metro Station,"1,922,174","2,285,794","2,665,874"
New Cairo,242,Villa,1,3,17,Furnished,8,Garden,Mall,"2,907,357","3,459,684","4,184,562"
Sheikh Zayed,121,Villa,5,1,26,Semi-Furnished,0,Gym,School,"1,308,364","1,730,911","2,016,593"
Sheikh Zayed,278,Villa,4,3,19,Unfurnished,8,Garden,Metro Station,"3,344,413","3,727,157","4,647,048"
6th of October,305,Apartment,5,3,23,Furnished,9,Swimming Pool,Metro Station,"3,191,617","4,375,287","5,227,031"
Maadi,289,Villa,5,3,23,Furnished,3,None,Metro Station,"3,514,080","4,763,965","5,717,482"
New Cairo,138,Apartment,5,2,14,Unfurnished,2,None,Hospital,"2,048,394","2,663,611","3,128,853"
Maadi,208,Villa,1,2,10,Furnished,9,Garden,Mall,"2,752,357","3,517,420","4,210,690"
New Cairo,197,Villa,1,3,11,Unfurnished,14,Garden,Hospital,"3,131,251","4,282,583","5,208,441"
